xsurvey1775	y0survey1775
1.020009800000e+04	7.751617111484e-02
1.020009600000e+04	1.476633179243e-01
1.020009400000e+04	3.355274203509e-01
1.020009200000e+04	1.873417288945e-01
1.020009000000e+04	2.034851456736e-01
1.020008800000e+04	2.200502623490e-01
1.020008600000e+04	3.183406987655e-01
1.020008400000e+04	4.480120092364e-01
1.020008200000e+04	2.469397811597e-01
1.020008000000e+04	1.823863188185e-01
1.020007800000e+04	3.262253986672e-01
1.020007600000e+04	2.988340301162e-01
1.020007400000e+04	2.943879068209e-01
1.020007200000e+04	1.821591825734e-01
1.020007000000e+04	2.233841305786e-01
1.020006800000e+04	4.126095841399e-01
1.020006600000e+04	5.883734535592e-01
1.020006400000e+04	2.527924957909e-01
1.020006200000e+04	1.366765871174e-01
1.020006000000e+04	4.317372193989e-01
1.020005800000e+04	6.360389524492e-02
1.020005600000e+04	1.440484745943e-01
1.020005400000e+04	9.269208818373e-02
1.020005200000e+04	8.103570258986e-01
1.020005000000e+04	2.271404920895e-01
1.020004800000e+04	6.676936240250e-02
1.020004600000e+04	2.139445978819e-01
1.020004400000e+04	4.424960374808e-01
1.020004200000e+04	2.828627108280e-01
1.020004000000e+04	3.242985245088e-01
1.020003800000e+04	2.375140580747e-01
1.020003600000e+04	9.632525880366e-02
1.020003400000e+04	2.429992192515e-01
1.020003200000e+04	3.294309537443e-01
1.020003000000e+04	2.814107688407e-01
1.020002800000e+04	5.032477602658e-01
1.020002600000e+04	2.879783303598e-01
1.020002400000e+04	3.966970272660e-01
1.020002200000e+04	6.498451040448e-01
1.020002000000e+04	3.106239244895e-01
1.020001800000e+04	5.060622314744e-01
1.020001600000e+04	2.584530397705e-01
1.020001400000e+04	2.918795964070e-01
1.020001200000e+04	2.896997040581e-01
1.020001000000e+04	7.597461107426e-01
1.020000800000e+04	2.923773314280e-01
1.020000600000e+04	3.412310672104e-01
1.020000400000e+04	4.729176958052e-01
1.020000200000e+04	2.734176197350e-01
1.020000000000e+04	6.602370826931e-02
1.019999800000e+04	6.881846739596e-01
1.019999600000e+04	3.483255626190e-01
1.019999400000e+04	9.454429297694e-02
1.019999200000e+04	6.872552202382e-01
1.019999000000e+04	4.144309368403e-01
1.019998800000e+04	4.523772246451e-01
1.019998600000e+04	4.560146511936e-01
1.019998400000e+04	1.996323228535e-01
1.019998200000e+04	3.628702399045e-01
1.019998000000e+04	2.421569561251e-01
1.019997800000e+04	2.203814703853e-01
1.019997600000e+04	5.133336110113e-01
1.019997400000e+04	4.352628993154e-01
1.019997200000e+04	5.218379264519e-01
1.019997000000e+04	2.738214597367e-01
1.019996800000e+04	3.899918640558e-01
1.019996600000e+04	6.892019330301e-01
